iter	Logloss
0	0.6636712903
1	0.6342697156
2	0.6085276485
3	0.5867256723
4	0.5662147007
5	0.5481273416
6	0.5303076159
7	0.5139366204
8	0.4995831248
9	0.4857167149
10	0.4731981689
11	0.4618523986
12	0.4517481481
13	0.4421941778
14	0.4347201806
15	0.4266028333
16	0.4192610351
17	0.4117653576
18	0.4059307456
19	0.3994021329
20	0.3935985668
21	0.3882442122
22	0.3828991221
23	0.3784490843
24	0.373949875
25	0.3699108986
26	0.365948444
27	0.3622339441
28	0.3588011577
29	0.3553283135
30	0.3520887855
31	0.3502918987
32	0.3478300329
33	0.34527741
34	0.342217273
35	0.3401458652
36	0.3378493688
37	0.3357873183
38	0.3342642603
39	0.3321147555
40	0.3309555979
41	0.329441313
42	0.3279777774
43	0.3259945142
44	0.3243874953
45	0.3226606246
46	0.3219336676
47	0.3210291252
48	0.3198287905
49	0.3188796971
50	0.318031639
51	0.3165062672
52	0.3156548439
53	0.314587568
54	0.3136704726
55	0.3129367383
56	0.3117738964
57	0.3110721012
58	0.309564386
59	0.3088428194
60	0.3080479955
61	0.3074215654
62	0.30701492
63	0.3060191041
64	0.3053436841
65	0.3040414686
66	0.3032768869
67	0.3026049937
68	0.3018011586
69	0.3008096353
70	0.3002730981
71	0.2996770254
72	0.2990714334
73	0.2985315696
74	0.297828546
75	0.2973408844
76	0.2967582064
77	0.2961065362
78	0.294855154
79	0.2944168933
80	0.2939757256
81	0.2936216164
82	0.2932470312
83	0.2924329147
84	0.291929766
85	0.2909996561
86	0.2900527394
87	0.2897275727
88	0.2892030717
89	0.2888600648
90	0.2883840048
91	0.2880289818
92	0.2875928889
93	0.2871004843
94	0.2865308737
95	0.2859449579
96	0.2855166871
97	0.2849818023
98	0.2846423431
99	0.2841151596
100	0.2834982265
101	0.2831565127
102	0.282646164
103	0.2823543009
104	0.2820483392
105	0.2817620677
106	0.2813985513
107	0.281119037
108	0.2808351992
109	0.2803084976
110	0.2800729502
111	0.2796220956
112	0.2793266295
113	0.278964283
114	0.2784660758
115	0.278002184
116	0.2777200325
117	0.2773832821
118	0.2771222744
119	0.2766864268
120	0.276299586
121	0.2760418246
122	0.2754747479
123	0.2749884799
124	0.2746696173
125	0.2741040382
126	0.2735023421
127	0.2732145559
128	0.2728968141
129	0.2722359571
130	0.2716093826
131	0.2714000541
132	0.270992893
133	0.270763291
134	0.2705204752
135	0.2702786937
136	0.2699080315
137	0.2696279276
138	0.2692997257
139	0.2688101064
140	0.2685589372
141	0.2682981615
142	0.2680109407
143	0.2677371867
144	0.2673123504
145	0.2670756079
146	0.2666823789
147	0.266522538
148	0.2662235692
149	0.2657987385
150	0.2655485677
151	0.2652518473
152	0.2650066943
153	0.2644668908
154	0.2642012284
155	0.2639801567
156	0.2636477052
157	0.2632120592
158	0.2629807194
159	0.2626468647
160	0.2623079679
161	0.2620104125
162	0.2617212923
163	0.2613358501
164	0.2610682448
165	0.2607153768
166	0.2602199137
167	0.2599989392
168	0.2595958921
169	0.2593979428
170	0.2591135471
171	0.2588605049
172	0.2586428687
173	0.258404145
174	0.2582191462
175	0.257723232
176	0.2574028974
177	0.2572574869
178	0.2568862501
179	0.2566959128
180	0.2565492706
181	0.2561620573
182	0.255856289
183	0.2556503646
184	0.2554144594
185	0.2552924731
186	0.254916091
187	0.2544070965
188	0.2541521234
189	0.2539546517
190	0.2536138716
191	0.2534548977
192	0.2531574519
193	0.2529954814
194	0.252723929
195	0.2524844955
196	0.2522311602
197	0.2520383518
198	0.2517776244
199	0.2515477848
200	0.251209301
201	0.2509434529
202	0.2507996361
203	0.2506425648
204	0.2503463862
205	0.2500638224
206	0.2497621838
207	0.2494729024
208	0.2490991007
209	0.2489846804
210	0.2487081091
211	0.2484789044
212	0.2483146503
213	0.2481808585
214	0.2480912389
215	0.2478672122
216	0.2477223769
217	0.2475929264
218	0.2472807254
219	0.2471301053
220	0.2468899852
221	0.2466858982
222	0.246562442
223	0.2463875431
224	0.2462433592
225	0.2459863023
226	0.2458271063
227	0.245588051
228	0.2454230286
229	0.2452099268
230	0.2449670811
231	0.2446097288
232	0.244328224
233	0.2440551331
234	0.2434601642
235	0.2433218505
236	0.2431854367
237	0.2428923896
238	0.2426730676
239	0.242485847
240	0.242208689
241	0.2420228474
242	0.2418135839
243	0.2415337014
244	0.2413716975
245	0.2411655668
246	0.240923001
247	0.2407268537
248	0.2402359759
249	0.2400761866
250	0.2399159176
251	0.2396922904
252	0.2395965732
253	0.2394807573
254	0.2393321658
255	0.2390889025
256	0.2388078823
257	0.2385271946
258	0.2383877576
259	0.2382209142
260	0.2380598248
261	0.2379884711
262	0.2376334266
263	0.2375178183
264	0.2372797599
265	0.237175426
266	0.2369692755
267	0.2366337652
268	0.236438031
269	0.2362798352
270	0.2361016903
271	0.2359560165
272	0.2358050989
273	0.2356067239
274	0.2353246102
275	0.2351041665
276	0.2349439581
277	0.2347640279
278	0.2344898403
279	0.2342899143
280	0.2338107909
281	0.2336029587
282	0.2333295686
283	0.2331825422
284	0.2329593092
285	0.2327590961
286	0.2326548225
287	0.2325270889
288	0.2323949005
289	0.2321691097
290	0.2320286642
291	0.2318484325
292	0.2315849908
293	0.2314402398
294	0.2312188056
295	0.2310855865
296	0.2308658218
297	0.2306962238
298	0.2305475183
299	0.2301937846
300	0.2300839757
301	0.2298579126
302	0.2296448515
303	0.2295197829
304	0.2294014446
305	0.2291880038
306	0.2289948631
307	0.2287878208
308	0.228618903
309	0.2283286825
310	0.2281622195
311	0.2280145197
312	0.2277625083
313	0.2275845673
314	0.2273745105
315	0.2272363689
316	0.2269806484
317	0.2268890768
318	0.2267217158
319	0.2265380687
320	0.2263233338
321	0.2260852428
322	0.2258880361
323	0.225732684
324	0.2255491682
325	0.2254050191
326	0.2251909429
327	0.2249536668
328	0.2247060768
329	0.2245896077
330	0.2244760227
331	0.2243908046
332	0.2241884929
333	0.2239943705
334	0.2236725174
335	0.2234406411
336	0.223285093
337	0.2230982004
338	0.2229085434
339	0.2227839403
340	0.2225512106
341	0.2222263368
342	0.2220410537
343	0.2219129957
344	0.2217003538
345	0.2215799459
346	0.2214820526
347	0.2212696792
348	0.2209040031
349	0.220719197
350	0.2205361266
351	0.2203843853
352	0.2201735493
353	0.2198879652
354	0.21961588
355	0.2194678615
356	0.2193099221
357	0.2191360107
358	0.2187837159
359	0.2185300711
360	0.2183893855
361	0.2181049854
362	0.2179005435
363	0.2177205111
364	0.2174963869
365	0.2173803398
366	0.2169363609
367	0.2168196631
368	0.2166548831
369	0.21631828
370	0.2161704267
371	0.2160449102
372	0.2159212652
373	0.2157640274
374	0.2156396896
375	0.2154924521
376	0.2153838976
377	0.2152002855
378	0.2150120541
379	0.2148153092
380	0.2147073323
381	0.2145460229
382	0.2144275768
383	0.2142994593
384	0.2142031805
385	0.2138262117
386	0.2136635854
387	0.2134872594
388	0.2133746584
389	0.213276983
390	0.2131158936
391	0.2129826218
392	0.2128329343
393	0.2126648053
394	0.2125785875
395	0.2124198256
396	0.2122963464
397	0.2120253591
398	0.2117497866
399	0.2116145643
400	0.2114785405
401	0.2111240142
402	0.2109240679
403	0.2108127821
404	0.2106440805
405	0.2105049161
406	0.2103738622
407	0.2101647978
408	0.2099324763
409	0.209566052
410	0.2092430984
411	0.2091713436
412	0.2087729291
413	0.208651161
414	0.2085375705
415	0.2083408507
416	0.2080461639
417	0.207894489
418	0.2077663336
419	0.2076713209
420	0.2075665661
421	0.2074048577
422	0.2072002273
423	0.2069923305
424	0.2068305228
425	0.206718668
426	0.2066354926
427	0.2065088971
428	0.2063655569
429	0.2061619615
430	0.2059655474
431	0.2057285199
432	0.2056460839
433	0.2053941115
434	0.2053121789
435	0.2051590812
436	0.2049874903
437	0.2048318844
438	0.2047213603
439	0.2046258866
440	0.2044436847
441	0.2042532438
442	0.2041556829
443	0.2040395941
444	0.2039581537
445	0.203836774
446	0.2036823989
447	0.203518274
448	0.2034367067
449	0.203257186
450	0.2031276922
451	0.2029319563
452	0.2028481971
453	0.2027593301
454	0.2026364498
455	0.2024584683
456	0.202259491
457	0.2021156769
458	0.2017820033
459	0.2016710637
460	0.2015563316
461	0.2014658763
462	0.2013991208
463	0.2012162681
464	0.2011383662
465	0.2010289496
466	0.2008868004
467	0.2007614877
468	0.2004933039
469	0.2003780427
470	0.2002976903
471	0.20013937
472	0.2000029903
473	0.1997739512
474	0.1995593845
475	0.1994565163
476	0.1993277992
477	0.1992338496
478	0.1991663217
479	0.1989997507
480	0.1988288146
481	0.1987153647
482	0.198591508
483	0.198440682
484	0.1983680411
485	0.1982630176
486	0.1981579342
487	0.1980591957
488	0.1979529875
489	0.197786424
490	0.1976363023
491	0.1973212544
492	0.1972259792
493	0.1971075029
494	0.1969907214
495	0.1968116198
496	0.1966374509
497	0.1964850793
498	0.1963733082
499	0.1962575175
500	0.1961536788
501	0.1960487473
502	0.1959199849
503	0.1958377841
504	0.1957635145
505	0.1956331477
506	0.1954985481
507	0.1953882828
508	0.1952512308
509	0.19513181
510	0.1950481187
511	0.1949478687
512	0.1948299741
513	0.1946992116
514	0.1946169553
515	0.1944312468
516	0.194346782
517	0.1942680863
518	0.1941528986
519	0.1940612524
520	0.1939737342
521	0.1938499278
522	0.1936946632
523	0.1935403754
524	0.193471714
525	0.1933524896
526	0.1929657588
527	0.1927607287
528	0.1926557978
529	0.1925367737
530	0.1924125468
531	0.1922869669
532	0.1921113281
533	0.1917673775
534	0.1917012197
535	0.191572077
536	0.191458998
537	0.1913680162
538	0.1912452412
539	0.1910919143
540	0.1908907251
541	0.190781875
542	0.1906034188
543	0.1904302267
544	0.1903399784
545	0.1902446715
546	0.190037094
547	0.1899484784
548	0.1898733885
549	0.1898029132
550	0.1897186914
551	0.1895797617
552	0.1894440043
553	0.1893164394
554	0.1891225971
555	0.1889948727
556	0.1888256122
557	0.1887328089
558	0.1885854375
559	0.1885012901
560	0.1884196618
561	0.1883036022
562	0.1879940957
563	0.1878460388
564	0.1876557521
565	0.1875508282
566	0.1873679724
567	0.187240914
568	0.1871358985
569	0.1869614595
570	0.186863641
571	0.1865942519
572	0.1863554642
573	0.1862384342
574	0.1861821819
575	0.186034416
576	0.1858733541
577	0.1857884041
578	0.1856502439
579	0.1854892752
580	0.1853944969
581	0.1852981507
582	0.1851658676
583	0.1850636604
584	0.1849354094
585	0.1847649367
586	0.1846443606
587	0.1845191158
588	0.1843956774
589	0.1842910132
590	0.1842125023
591	0.1840326908
592	0.1838910013
593	0.1837379696
594	0.1836555108
595	0.1835469278
596	0.1833817172
597	0.1832345462
598	0.1831633517
599	0.1830720387
600	0.1829783886
601	0.1828874057
602	0.1828063364
603	0.182686974
604	0.1824355337
605	0.1823260901
606	0.1821791191
607	0.1820312241
608	0.181818988
609	0.181709293
610	0.1815994418
611	0.1814960754
612	0.181396886
613	0.1813135126
614	0.1812142119
615	0.1810416351
616	0.1809217236
617	0.1807816421
618	0.1806941436
619	0.1806200543
620	0.1804991146
621	0.1804416171
622	0.1802994818
623	0.1801636139
624	0.1800149889
625	0.1798960619
626	0.1797919999
627	0.1796766722
628	0.1796128949
629	0.179514527
630	0.1794189071
631	0.1792789243
632	0.1791114561
633	0.1790595118
634	0.1789458396
635	0.1787853301
636	0.1786439882
637	0.1785689198
638	0.1785139237
639	0.1784184658
