iter	Passed	Remaining
0	268	268216
1	312	156003
2	359	119311
3	395	98438
4	427	85065
5	506	83884
6	646	91723
7	731	90719
8	785	86529
9	904	89534
10	953	85722
11	1027	84594
12	1263	95954
13	1363	96003
14	1514	99478
15	1574	96812
16	1674	96814
17	1716	93652
18	1793	92614
19	1954	95755
20	2009	93698
21	2054	91313
22	2109	89601
23	2230	90710
24	2272	88629
25	2328	87214
26	2420	87229
27	2452	85127
28	2477	82959
29	2504	80968
30	2533	79187
31	2601	78682
32	2638	77320
33	2671	75891
34	2699	74423
35	2720	72840
36	2745	71450
37	2805	71016
38	2846	70132
39	2898	69562
40	2928	68502
41	2963	67594
42	3034	67543
43	3065	66597
44	3098	65754
45	3130	64933
46	3166	64215
47	3204	63560
48	3231	62715
49	3255	61854
50	3288	61187
51	3365	61348
52	3399	60735
53	3425	60010
54	3452	59324
55	3480	58672
56	3555	58820
57	3587	58268
58	3635	57981
59	3673	57557
60	3758	57860
61	3785	57276
62	3810	56679
63	3851	56332
64	3922	56417
65	3956	55997
66	3987	55534
67	4020	55098
68	4054	54709
69	4133	54917
70	4179	54691
71	4212	54293
72	4253	54009
73	4361	54578
74	4416	54464
75	4460	54227
76	4546	54498
77	4572	54054
78	4614	53799
79	4644	53417
80	4719	53546
81	4756	53255
82	4780	52817
83	4810	52456
84	4846	52171
85	4879	51858
86	4951	51957
87	4982	51639
88	5017	51356
89	5048	51044
90	5117	51117
91	5146	50797
92	5173	50451
93	5196	50089
94	5221	49738
95	5246	49409
96	5315	49479
97	5355	49291
98	5383	48994
99	5413	48717
100	5441	48431
101	5509	48501
102	5531	48171
103	5556	47874
104	5587	47630
105	5613	47344
106	5682	47420
107	5724	47281
108	5755	47049
109	5781	46776
110	5806	46501
111	5888	46690
112	5910	46396
113	5938	46154
114	5970	45944
115	6004	45758
116	6073	45833
117	6105	45636
118	6139	45456
119	6171	45254
120	6196	45016
121	6256	45028
122	6281	44790
123	6347	44844
124	6391	44741
125	6439	44665
126	6521	44827
